,Date,Price,High,Low,Close,Volume,Adj Close
0,2013-11-11,11,11.25,8.56,9.13,22374300,9.13
1,2013-11-18,9.25,9.5,7.45,7.49,4151800,7.49
2,2013-11-25,7.37,8.6,7.31,8.21,3226300,8.21
3,2013-12-02,8.29,9.8,8.2,9.57,3836200,9.57
4,2013-12-09,9.66,9.68,7.96,8.01,3919000,8.01
5,2013-12-16,8.02,8.7,8.02,8.41,3860500,8.41
6,2013-12-23,8.42,8.58,8.22,8.35,1316200,8.35
7,2013-12-30,8.4,8.9,8.13,8.21,2015600,8.21
8,2014-01-06,8.24,8.5,7.57,7.61,3789200,7.61
9,2014-01-13,7.61,7.65,7.05,7.25,3744400,7.25
10,2014-01-20,7.34,7.39,7.11,7.21,1700800,7.21
11,2014-01-27,7.2,7.29,6.64,6.67,2902100,6.67
12,2014-02-03,6.64,7.15,6.32,7.12,3295100,7.12
13,2014-02-10,7.17,7.99,6.08,6.17,7859900,6.17
14,2014-02-17,6.23,6.71,6.09,6.4,3481000,6.4
15,2014-02-24,6.65,6.65,6.28,6.3,2809200,6.3
16,2014-03-03,6.27,6.45,6.23,6.38,1548900,6.38
17,2014-03-10,6.39,6.78,6.25,6.53,1633700,6.53
18,2014-03-17,6.53,7.19,6.53,7.19,2322900,7.19
19,2014-03-24,7.15,7.44,6.8,6.93,2435500,6.93
20,2014-03-31,6.95,7.34,6.63,6.81,1818700,6.81
21,2014-04-07,6.8,6.8,5.49,5.72,2316000,5.72
22,2014-04-14,5.73,5.87,4.98,5.5,1615700,5.5
23,2014-04-21,5.5,5.54,5.16,5.31,1555700,5.31
24,2014-04-28,5.35,6.14,5.17,5.82,3336300,5.82
25,2014-05-05,5.77,6,5.16,5.21,2409700,5.21
26,2014-05-12,5,5.49,4.82,5.27,3244200,5.27
27,2014-05-19,5.18,5.6,5.17,5.51,2587400,5.51
28,2014-05-26,5.55,5.75,5.45,5.57,1367100,5.57
29,2014-06-02,5.6,6.3,5.4,6.28,3033700,6.28
30,2014-06-09,6.3,7,6.15,6.37,4143600,6.37
31,2014-06-16,6.4,7.95,6.4,7.72,5473500,7.72
32,2014-06-23,7.7,8.11,6.58,7.29,11356400,7.29
33,2014-06-30,7.29,7.29,6.65,6.84,2474800,6.84
34,2014-07-07,6.82,6.82,6.39,6.5,2061500,6.5
35,2014-07-14,6.56,6.68,5.76,6.02,2139000,6.02
36,2014-07-21,5.98,6.24,5.86,6.05,1688900,6.05
37,2014-07-28,6.08,6.53,6.01,6.44,3000300,6.44
38,2014-08-04,6.43,7.49,5.83,7.03,7558000,7.03
39,2014-08-11,7.01,7.31,6.82,7.18,1989400,7.18
40,2014-08-18,7.24,7.4,6.78,6.85,2374000,6.85
41,2014-08-25,6.89,7.07,6.72,6.91,1591500,6.91
42,2014-09-01,6.94,6.98,6.29,6.78,1873000,6.78
43,2014-09-08,6.77,6.91,6.53,6.58,1445700,6.58
44,2014-09-15,6.56,6.7,6.36,6.48,2436100,6.48
45,2014-09-22,6.45,6.45,6.04,6.15,1885800,6.15
46,2014-09-29,6.1,6.45,6.1,6.4,2402900,6.4
47,2014-10-06,6.42,6.5,5.7,5.76,3522300,5.76
48,2014-10-13,5.77,6.5,5.53,6.05,2282600,6.05
49,2014-10-20,6.01,6.23,5.8,6.15,1547700,6.15
50,2014-10-27,6.14,6.7,5.95,6.65,2099500,6.65
51,2014-11-03,6.69,6.81,6,6.72,2913400,6.72
52,2014-11-10,6.71,7.08,6.68,6.9,2134300,6.9
53,2014-11-17,6.9,7,6.37,6.76,1244400,6.76
54,2014-11-24,6.77,6.94,6.65,6.76,927100,6.76
55,2014-12-01,6.75,6.82,6.31,6.41,1724200,6.41
56,2014-12-08,6.35,6.6,6.14,6.41,1205900,6.41
57,2014-12-15,6.42,6.75,6.34,6.61,1954000,6.61
58,2014-12-22,6.63,7.05,6.57,7.01,1126200,7.01
59,2014-12-29,7.02,7.05,6.8,7,993700,7
60,2015-01-05,6.96,7.25,6.49,7.09,1929800,7.09
61,2015-01-12,7.14,7.2,6.53,6.71,1440800,6.71
62,2015-01-19,6.7,7.21,6.52,7.13,1036900,7.13
63,2015-01-26,7.1,7.25,6.61,6.63,1687900,6.63
64,2015-02-02,6.64,6.87,6.5,6.7,1034800,6.7
65,2015-02-09,6.67,6.8,6.35,6.44,1214200,6.44
66,2015-02-16,6.47,6.7,6.4,6.44,1191100,6.44
67,2015-02-23,6.45,8.71,6.38,8.12,17071600,8.12
68,2015-03-02,8.16,8.85,7.91,8.3,7782300,8.3
69,2015-03-09,8.29,8.75,8.14,8.5,2958500,8.5
70,2015-03-16,8.57,8.61,8.32,8.45,2533100,8.45
71,2015-03-23,8.5,8.56,7.89,7.99,3061400,7.99
72,2015-03-30,7.99,8.09,7.65,7.85,1399800,7.85
73,2015-04-06,7.83,8.2,7.76,8,1875500,8
74,2015-04-13,7.99,8.25,7.76,7.97,2332600,7.97
75,2015-04-20,7.98,8.19,7.9,8.06,1557700,8.06
76,2015-04-27,8.1,8.18,7.34,7.46,2428100,7.46
77,2015-05-04,7.45,8.72,7.2,8.5,6517200,8.5
78,2015-05-11,8.44,8.77,8.12,8.18,3407100,8.18
79,2015-05-18,8.18,8.2,7.77,7.82,1864900,7.82
80,2015-05-25,7.81,7.89,7.51,7.61,2063600,7.61
81,2015-06-01,7.6,8,7.52,7.88,4483900,7.88
82,2015-06-08,7.85,7.96,7.64,7.69,6404400,7.69
83,2015-06-15,7.62,8.04,7.52,7.94,2757800,7.94
84,2015-06-22,7.97,8.09,7.65,7.84,2313200,7.84
85,2015-06-29,7.8,7.87,7.52,7.72,2500000,7.72
86,2015-07-06,7.64,8.45,7.57,8.3,3006900,8.3
87,2015-07-13,8.3,8.42,8.05,8.11,2126800,8.11
88,2015-07-20,8.13,8.31,7.91,8.05,2166700,8.05
89,2015-07-27,7.96,8.4,7.91,8.31,3620600,8.31
90,2015-08-03,8.33,8.84,8.28,8.4,6462200,8.4
91,2015-08-10,8.41,8.61,8.25,8.57,6002200,8.57
92,2015-08-17,8.52,8.81,7.54,7.62,5795500,7.62
93,2015-08-24,7.3,7.74,7.03,7.66,5228600,7.66
94,2015-08-31,7.63,7.63,7.14,7.34,2054500,7.34
95,2015-09-07,7.47,7.63,7.2,7.45,1871000,7.45
96,2015-09-14,7.46,8,7.41,8,3566200,8
97,2015-09-21,8,8.07,7.39,7.43,2821100,7.43
98,2015-09-28,7.42,7.49,6.9,7.3,2472400,7.3
99,2015-10-05,7.4,7.6,7.11,7.26,1742400,7.26
100,2015-10-12,7.28,7.35,6.89,7.34,1495200,7.34
101,2015-10-19,7.32,7.54,6.99,7.24,1298800,7.24
102,2015-10-26,7.23,7.38,6.74,6.9,2164400,6.9
103,2015-11-02,6.9,8.03,6.79,7.72,5385500,7.72
104,2015-11-09,7.69,7.75,6.71,6.75,1857700,6.75
105,2015-11-16,6.74,7.41,6.55,7.15,1945100,7.15
106,2015-11-23,7.11,7.38,7.05,7.28,679000,7.28
107,2015-11-30,7.28,7.39,6.92,7.08,1513900,7.08
108,2015-12-07,7.06,7.29,6.64,6.91,1450400,6.91
109,2015-12-14,6.91,7.48,6.85,7.07,2146500,7.07
110,2015-12-21,7.1,7.19,6.88,7.03,695300,7.03
111,2015-12-28,6.98,7.16,6.7,6.73,1247600,6.73
112,2016-01-04,6.67,6.67,5.97,6.24,3588300,6.24
113,2016-01-11,6.3,6.49,5.8,6.01,2784400,6.01
114,2016-01-18,6.11,6.11,5.57,5.9,1900200,5.9
115,2016-01-25,5.86,5.92,5.46,5.8,2418900,5.8
116,2016-02-01,5.74,5.83,5.28,5.29,1986700,5.29
117,2016-02-08,5.22,5.22,4.75,4.86,2160300,4.86
118,2016-02-15,4.92,5.22,4.8,5.2,2180900,5.2
119,2016-02-22,5.27,5.43,3.15,4.24,18869100,4.24
120,2016-02-29,4.25,4.6,4.25,4.4,3860200,4.4
121,2016-03-07,4.41,4.54,4.3,4.5,2244900,4.5
122,2016-03-14,4.5,4.58,4.21,4.55,1921700,4.55
123,2016-03-21,4.55,4.58,4.03,4.12,2055100,4.12
124,2016-03-28,4.18,4.51,4.1,4.29,2319600,4.29
125,2016-04-04,4.31,4.5,4.26,4.31,1781700,4.31
126,2016-04-11,4.35,4.57,4.3,4.44,1887200,4.44
127,2016-04-18,4.44,4.66,4.39,4.66,1671000,4.66
128,2016-04-25,4.66,4.76,4.51,4.54,1521900,4.54
129,2016-05-02,4.59,4.9,4.26,4.36,3494900,4.36
130,2016-05-09,4.34,4.63,4.3,4.42,2519800,4.42
131,2016-05-16,4.4,4.58,4.31,4.54,2581200,4.54
132,2016-05-23,4.56,4.85,4.54,4.83,1985200,4.83
133,2016-05-30,4.86,5.01,4.82,4.93,1480000,4.93
134,2016-06-06,4.92,5.08,4.79,4.87,2062500,4.87
135,2016-06-13,4.8,4.97,4.67,4.84,1542300,4.84
136,2016-06-20,4.89,5.13,4.84,4.85,2028700,4.85
137,2016-06-27,4.8,5.1,4.58,5.06,1735800,5.06
138,2016-07-04,5,5.3,4.82,5.29,1012000,5.29
139,2016-07-11,5.25,5.81,5.25,5.51,2378400,5.51
140,2016-07-18,5.52,5.61,5.41,5.45,1010400,5.45
141,2016-07-25,5.4,5.49,5.28,5.39,1516700,5.39
142,2016-08-01,5.42,6.62,5.4,6.6,5794400,6.6
143,2016-08-08,6.59,6.87,6.5,6.86,1746300,6.86
144,2016-08-15,6.8,7,6.79,6.93,2038500,6.93
145,2016-08-22,6.85,7.06,6.66,6.97,2625600,6.97
146,2016-08-29,6.95,7.01,6.62,6.83,1268300,6.83
147,2016-09-05,6.86,7.13,6.84,6.96,1820300,6.96
148,2016-09-12,6.92,7.15,6.82,7.02,3359500,7.02
149,2016-09-19,7.04,7.29,7.01,7.18,4275600,7.18
150,2016-09-26,7.17,7.21,7,7.09,2857600,7.09
151,2016-10-03,7.05,7.33,6.94,7.25,5844400,7.25
152,2016-10-10,7.26,7.33,6.68,6.77,2179900,6.77
153,2016-10-17,6.75,6.8,6.6,6.76,1083500,6.76
154,2016-10-24,6.82,6.92,6.62,6.63,1388300,6.63
155,2016-10-31,6.63,6.86,6.51,6.78,2720500,6.78
156,2016-11-07,6.94,8.09,6.55,8.05,5064800,8.05
157,2016-11-14,8.05,8.32,7.11,7.95,6427700,7.95
158,2016-11-21,8.06,8.57,7.94,8.48,2797000,8.48
159,2016-11-28,8.49,8.49,7.67,7.69,2971600,7.69
160,2016-12-05,7.78,8.38,7.7,8.22,3210900,8.22
161,2016-12-12,8.19,8.22,7.8,7.89,2370500,7.89
162,2016-12-19,7.88,8.04,7.56,7.6,1207600,7.6
163,2016-12-26,7.6,7.7,7.3,7.38,1390000,7.38
164,2017-01-02,7.42,7.6,7.26,7.49,1807500,7.49
165,2017-01-09,7.46,7.71,7.2,7.65,1970200,7.65
166,2017-01-16,7.63,7.63,7.08,7.24,1604600,7.24
167,2017-01-23,7.22,7.5,7.1,7.24,1499000,7.24
168,2017-01-30,7.17,7.25,6.84,6.96,1657700,6.96
169,2017-02-06,6.95,7.21,6.87,7.19,1495000,7.19
170,2017-02-13,7.26,8.27,7.21,8.04,4946500,8.04
171,2017-02-20,8.05,8.3,8,8.2,2088100,8.2
172,2017-02-27,8.23,8.24,7.89,8.05,1715900,8.05
173,2017-03-06,7.97,8.06,7.81,7.94,2085500,7.94
174,2017-03-13,7.94,8.27,7.87,8.2,1709100,8.2
175,2017-03-20,8.18,8.35,7.91,8.14,2351800,8.14
176,2017-03-27,8.02,8.47,7.95,8.44,1703300,8.44
177,2017-04-03,8.46,8.78,8.09,8.38,3449100,8.38
178,2017-04-10,8.35,8.4,8.04,8.05,1177500,8.05
179,2017-04-17,8.07,8.33,8.04,8.25,1602100,8.25
180,2017-04-24,8.38,9.07,8.26,9.01,3691200,9.01
181,2017-05-01,9.05,12.1,8.97,11.49,21515500,11.49
182,2017-05-08,11.5,11.73,11.36,11.53,4517800,11.53
183,2017-05-15,11.55,11.71,11.25,11.5,4426800,11.5
184,2017-05-22,11.6,12.19,11.53,11.97,6856800,11.97
185,2017-05-29,12,12.59,11.47,12.5,6577900,12.5
186,2017-06-05,12.52,13,12.18,12.35,8784000,12.35
187,2017-06-12,12.31,12.62,11.53,11.68,6647200,11.68
188,2017-06-19,11.72,12.92,11.63,12.77,7517800,12.77
189,2017-06-26,12.82,13.1,12.27,12.29,4841700,12.29
190,2017-07-03,12.3,12.3,11.93,12.24,1680500,12.24
191,2017-07-10,12.27,13.66,12.07,13.66,5541000,13.66
192,2017-07-17,13.66,14.33,13.49,13.88,6208500,13.88
193,2017-07-24,13.94,15.37,13.43,14.14,8959800,14.14
194,2017-07-31,14.14,15.95,13.21,14.96,14598000,14.96
195,2017-08-07,15.05,15.38,14.65,15.03,7489200,15.03
196,2017-08-14,15.26,15.43,14.39,14.63,5626000,14.63
197,2017-08-21,14.66,15.12,14.03,14.03,3855600,14.03
198,2017-08-28,14.03,14.34,13.63,13.82,5813400,13.82
199,2017-09-04,13.75,14.25,13.52,13.94,3341700,13.94
200,2017-09-11,14.1,15.17,14.02,14.59,5750900,14.59
201,2017-09-18,14.64,15.36,14.17,14.66,4013600,14.66
202,2017-09-25,14.65,15.17,14.22,14.84,3782800,14.84
203,2017-10-02,14.83,15.65,14.8,15.38,4677700,15.38
204,2017-10-09,15.35,15.56,15.13,15.51,2143000,15.51
205,2017-10-16,15.51,16.23,15.4,15.86,5198800,15.86
206,2017-10-23,15.99,16.49,15.12,16.48,4580200,16.48
207,2017-10-30,16.5,16.5,14.25,14.74,11420700,14.74
208,2017-11-06,14.74,14.88,13.75,14.09,5316300,14.09
209,2017-11-13,14.05,14.94,13.8,14.51,4286400,14.51
210,2017-11-20,14.71,15,14.19,14.91,2778400,14.91
211,2017-11-27,14.88,15.52,14.72,15.44,4603200,15.44
212,2017-12-04,15.49,15.5,13.83,15,3754100,15
213,2017-12-11,14.93,16,14.89,15.69,3526500,15.69
214,2017-12-18,15.83,16.67,15.81,16.29,5304500,16.29
215,2017-12-25,16.19,16.61,16.08,16.32,2093700,16.32
216,2018-01-01,16.35,17.04,16.28,16.79,2914100,16.79
217,2018-01-08,16.79,17.03,16.53,16.74,2241500,16.74
218,2018-01-15,16.82,16.89,15.79,16.47,2583700,16.47
219,2018-01-22,16.48,17.36,16.34,17.34,3020100,17.34
220,2018-01-29,17.28,17.42,16.85,17.06,3474400,17.06
221,2018-02-05,16.83,17.22,15.47,15.93,5500800,15.93
222,2018-02-12,16,19.96,15.85,19.57,17042900,19.57
223,2018-02-19,19.54,20.78,19.26,20.35,5618000,20.35
224,2018-02-26,20.38,21.09,19.42,21.07,5786700,21.07
225,2018-03-05,20.92,23.22,20.78,22.23,8516000,22.23
226,2018-03-12,22.27,22.73,21.25,21.28,6917600,21.28
227,2018-03-19,21.19,22.39,20.98,21.32,6767800,21.32
228,2018-03-26,21.63,22.45,19.5,20.66,10875700,20.66
229,2018-04-02,20.66,21.11,19.77,20.8,5010200,20.8
230,2018-04-09,20.88,21.97,20.79,21.75,5087300,21.75
231,2018-04-16,21.84,23.54,21.49,22.5,7387400,22.5
232,2018-04-23,22.64,22.88,20.4,22.6,8807200,22.6
233,2018-04-30,22.57,24.01,21.38,23.88,10010300,23.88
234,2018-05-07,24.05,25.59,24,25.28,8135300,25.28
235,2018-05-14,25.31,26.38,24.16,26.3,7624200,26.3
236,2018-05-21,26.42,26.91,25.5,26.84,4275600,26.84
237,2018-05-28,26.6,28.22,26.6,28.1,5470900,28.1
238,2018-06-04,28.25,28.85,27.64,28.47,6800600,28.47
239,2018-06-11,28.43,29.55,28.21,29.04,8746500,29.04
240,2018-06-18,28.79,29.76,27.13,27.91,8531600,27.91
241,2018-06-25,27.61,28.15,26.37,27.79,6089300,27.79
242,2018-07-02,27.53,29.1,27.28,28.76,3419400,28.76
243,2018-07-09,29.06,29.41,28.51,28.92,3707600,28.92
244,2018-07-16,29.08,29.54,28.67,29.06,4307500,29.06
245,2018-07-23,28.95,29.84,27.18,27.3,4550600,27.3
246,2018-07-30,27.34,28.51,25.38,27.13,13442400,27.13
247,2018-08-06,27.13,29.69,27.07,29.51,4505400,29.51
248,2018-08-13,29.52,30.25,28.81,30.21,4996100,30.21
249,2018-08-20,30.39,31.65,30.14,31.37,3687300,31.37
250,2018-08-27,31.5,32.71,30.99,32.38,5137800,32.38
251,2018-09-03,32.36,32.82,30.15,31.28,3689200,31.28
252,2018-09-10,31.71,32.14,30.56,31.71,4869700,31.71
253,2018-09-17,31.66,31.94,30.52,31.52,4544000,31.52
254,2018-09-24,31.33,32.55,26.54,28.43,13669800,28.43
255,2018-10-01,28.5,29.49,26.9,27.87,8426600,27.87
256,2018-10-08,27.72,28.19,24.81,25.5,7100200,25.5
257,2018-10-15,25.47,27.34,25,25.26,4210900,25.26
